region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,custcat,region_2,region_3,ed_2,ed_3,ed_4,ed_5
2,-0.63356213634281,-1.0901383350844394,1,-2.2333133247043566,-0.4706906927934166,4,-1.942031714516403,0,0,1.1630057723732288,3,1.0,0.0,0.0,0.0,1.0,0.0
2,1.0058489809127233,0.9811563676483455,1,0.9338611998952703,-1.1303708482261439,2,-1.942031714516403,0,1,0.4661778680153925,0,1.0,0.0,1.0,0.0,0.0,0.0
3,1.474252157271447,0.8218260058996697,0,0.5120614637190862,1.9485489000740512,2,0.9555458719422522,0,1,0.4661778680153925,2,0.0,1.0,1.0,0.0,0.0,0.0
2,0.3032442163746376,0.5031652824023182,1,1.028497880781798,0.5544982435103377,1,0.9998205841122723,0,1,1.8598336767310653,3,1.0,0.0,0.0,0.0,0.0,0.0
2,-0.16515895998408617,0.9811563676483455,0,-0.20900994796316458,1.3552060464201694,2,0.9555458719422522,0,0,-0.9274779407002801,0,1.0,0.0,1.0,0.0,0.0,0.0
1,0.20956358110289286,-1.0104731542101013,1,-0.20900994796316458,-0.3404308255567738,2,0.1491431143563454,0,1,1.8598336767310653,2,0.0,0.0,1.0,0.0,0.0,0.0
3,-1.4298475361526404,-0.8511427924614257,0,-1.5122419130221056,-1.1303708482261439,3,-1.2823395047886441,0,1,-0.2306500363424438,0,0.0,1.0,0.0,1.0,0.0,0.0
2,0.8184877103692338,-1.5681294203304665,0,-1.5122419130221056,-0.9183926473554176,4,-1.942031714516403,0,0,-0.2306500363424438,1,1.0,0.0,0.0,0.0,1.0,0.0
3,0.16272326346702048,-0.6121472498384121,0,-1.0904421768459218,0.0323284129672659,3,-0.23675209035227007,0,0,-0.9274779407002801,0,0.0,1.0,0.0,1.0,0.0,0.0
1,-1.0551249950656614,-0.6121472498384121,1,-0.20900994796316458,-0.43685083159965427,3,-0.09004154249412198,0,0,1.1630057723732288,2,0.0,0.0,0.0,1.0,0.0,0.0
3,-1.5235281714243851,-1.3291338777074528,0,-0.5590373554992468,-1.0739651358228983,4,-1.942031714516403,0,0,-0.2306500363424438,3,0.0,1.0,0.0,0.0,1.0,0.0
3,-1.1956459479732786,-1.5681294203304665,0,-2.2333133247043566,-0.9681605786685787,4,-1.942031714516403,0,0,-0.9274779407002801,3,0.0,1.0,0.0,0.0,1.0,0.0
